resistors                   | resistors,        lm6uu               | hinges,           capacitors          | inductors,            ldrs            | empty_spot,         power_resistors   | power_resisters,    leds              | empty_spot,
desoldered_parts            | fuses,            barrel_connectors   | vgas,             capacitors          | salvaged_parts,       rotary_encoders | crocodile_clips,    screw_terminals   | female_headers,     male_headers      | xt60_connectors,
female_barrel_connectors    | earphone_cables,  photointerrupters   | optical_encoders, gold                | cable_organizers,     rubber_feet     | fishing_set,        shelf_holders     | motion_resistors,   power_transistors | empty_spot,
wifi_stuff                  | empty_spot,       headphone_jack      | empty_spot,       bridge_rectifier    | battery_protectors,   joysticks       | watch_parts,        diodes            | diodes,             mosfets           | mosfets,
optics                      | dvd_parts,        magnets             | magnets,          springs             | springs,              aaa_batteries   | small_bolts,        screws            | large_bolts,        transistors       | tiny_bolts
